"zip_code","population","income","price","crime","metro","avg_income","crime_rate","Borough","metro_convenience","security","complain"
10001,21102,1764658,1663,1075,45,83.62515401,0.050943039,"Manhattan","convenient","safe",153
10002,81410,1840625,1332,723,17,22.60932318,0.008880973,"Manhattan","convenient","intermediate",339
10003,56024,5576134,1737,964,28,99.53116521,0.017206911,"Manhattan","convenient","safe",333
10004,3089,698981,1462,106,14,226.2806734,0.034315312,"Manhattan","convenient","safe",28
10005,7135,3658870,1372,66,18,512.8058865,0.009250175,"Manhattan","convenient","intermediate",24
10006,3011,496062,1525,58,22,164.749917,0.019262703,"Manhattan","convenient","safe",11
10007,6988,1489310,1980,146,37,213.1239267,0.020892959,"Manhattan","convenient","safe",38
10009,61347,2136297,1306,508,0,34.82316984,0.008280764,"Manhattan","inconvenient","intermediate",287
10010,31834,3235832,1849,464,21,101.647044,0.014575611,"Manhattan","convenient","safe",106
10011,50984,6110123,-1,884,4,119.8439314,0.017338773,"Manhattan","intermediate","safe",213
10012,24090,2448742,-1,553,0,101.6497302,0.022955583,"Manhattan","inconvenient","safe",158
10013,27700,4346730,-1,426,34,156.9216606,0.015379061,"Manhattan","convenient","safe",176
10014,31959,4207501,-1,620,16,131.6530868,0.019399856,"Manhattan","convenient","safe",186
10016,54183,6156381,-1,533,16,113.6220032,0.009837034,"Manhattan","convenient","safe",247
10017,16575,3723087,-1,234,5,224.6206335,0.014117647,"Manhattan","intermediate","safe",141
10018,5229,2184827,-1,511,19,417.8288392,0.09772423,"Manhattan","convenient","safe",74
10019,42870,5955870,-1,810,51,138.9286214,0.018894332,"Manhattan","convenient","safe",307
10021,43631,10170458,-1,194,0,233.1016479,0.00444638,"Manhattan","inconvenient","unsafe",171
10022,31924,8031973,-1,480,25,251.5966984,0.01503571,"Manhattan","convenient","safe",215
10023,60998,9262132,-1,390,14,151.843208,0.006393652,"Manhattan","convenient","intermediate",228
10024,59283,8309833,-1,350,17,140.1722754,0.005903885,"Manhattan","convenient","unsafe",229
10025,94600,5674434,1295,640,21,59.98344609,0.006765328,"Manhattan","convenient","intermediate",476
10026,34003,895834,959,357,11,26.3457342,0.010499074,"Manhattan","intermediate","safe",238
10027,59707,1255215,-1,794,22,21.02291189,0.013298273,"Manhattan","convenient","safe",455
10028,45141,7499720,-1,183,4,166.1398728,0.004053964,"Manhattan","intermediate","unsafe",175
10029,76003,1498844,896,724,6,19.72085312,0.00952594,"Manhattan","intermediate","intermediate",430
10030,26999,442664,647,318,7,16.39557021,0.011778214,"Manhattan","intermediate","safe",282
10031,56438,941517,782,541,13,16.68232397,0.00958574,"Manhattan","convenient","intermediate",604
10032,57331,939512,-1,444,19,16.38750414,0.007744501,"Manhattan","convenient","intermediate",609
10033,53926,1039758,-1,260,0,19.28120016,0.004821422,"Manhattan","inconvenient","unsafe",531
10034,38908,730471,-1,338,17,18.77431377,0.008687159,"Manhattan","convenient","intermediate",434
10035,33969,539312,-1,710,0,15.87659336,0.02090141,"Manhattan","inconvenient","safe",266
10036,24711,3094898,1626,929,30,125.2437376,0.037594594,"Manhattan","convenient","safe",253
10037,17416,414988,-1,135,3,23.82797428,0.007751493,"Manhattan","intermediate","intermediate",106
10038,20300,1152628,1274,154,17,56.77970443,0.007586207,"Manhattan","convenient","intermediate",62
10039,24527,434461,-1,263,0,17.71358095,0.010722877,"Manhattan","inconvenient","safe",184
10040,41905,763006,-1,0,9,18.20799427,0,"Manhattan","intermediate","unsafe",726
10044,11661,334528,-1,27,1,28.68776263,0.00231541,"Manhattan","inconvenient","unsafe",3
10065,32270,5673429,-1,292,11,175.8112488,0.009048652,"Manhattan","intermediate","intermediate",127
10075,26121,4891555,-1,145,6,187.2652272,0.005551089,"Manhattan","intermediate","unsafe",75
10128,60453,9248949,-1,331,7,152.994045,0.005475328,"Manhattan","intermediate","unsafe",196
10280,7853,681788,1154,0,0,86.81879536,0,"Manhattan","inconvenient","unsafe",13
10301,39706,1060112,292,325,3,26.69903793,0.008185161,"Staten Island","intermediate","intermediate",277
10302,19088,351169,244,196,0,18.39737008,0.010268231,"Staten Island","inconvenient","safe",110
10303,26337,475577,214,227,0,18.05737176,0.008619053,"Staten Island","inconvenient","intermediate",157
10304,42193,1106371,268,0,3,26.22167184,0,"Staten Island","intermediate","unsafe",240
10305,41749,1063397,276,176,0,25.47119691,0.00421567,"Staten Island","inconvenient","unsafe",214
10306,55909,1710838,302,202,12,30.60040423,0.003613014,"Staten Island","convenient","unsafe",284
10307,14096,495561,286,27,7,35.15614359,0.001915437,"Staten Island","intermediate","unsafe",59
10308,27357,887964,300,66,2,32.45838359,0.002412545,"Staten Island","inconvenient","unsafe",121
10309,32519,1085288,252,106,8,33.37396599,0.003259633,"Staten Island","intermediate","unsafe",157
10310,24962,593078,274,176,0,23.75923404,0.007050717,"Staten Island","inconvenient","intermediate",102
10312,59304,2095156,268,120,6,35.32908404,0.002023472,"Staten Island","intermediate","unsafe",339
10314,85510,2474400,272,379,0,28.93696644,0.00443223,"Staten Island","inconvenient","unsafe",343
10451,45713,631047,-1,646,15,13.80454138,0.014131647,"Bronx","convenient","safe",355
10452,75371,880419,-1,929,24,11.68113731,0.012325696,"Bronx","convenient","safe",681
10453,78309,893387,-1,684,16,11.40848434,0.008734628,"Bronx","convenient","intermediate",912
10454,37337,342812,-1,465,19,9.181562525,0.012454134,"Bronx","convenient","safe",218
10455,39665,409001,-1,625,19,10.31138283,0.015756965,"Bronx","convenient","safe",307
10456,86547,937025,211,0,4,10.8267762,0,"Bronx","intermediate","unsafe",724
10457,70496,758321,217,980,7,10.75693656,0.013901498,"Bronx","intermediate","safe",659
10458,79492,843375,-1,839,9,10.60955819,0.010554521,"Bronx","intermediate","safe",925
