Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
2/29/2016,75909,41076,KY,Cincinnati,Campbell,Cold Spring,5035,131000,0.003831418,0.013147718,0.011583012,0.011861024,0.000305857,2008-02,2008-Q1,131500,-0.003802281,2007-12
2/29/2016,97978,95110,CA,San Jose,Santa Clara,San Jose,5036,595600,0.000840195,0.012408635,0.121868525,0.123992261,0.010129136,2016-02,2016-Q1,595600,0,2016-02
2/29/2016,63580,14526,NY,Rochester,Monroe,Penfield,5037,175100,0.002863688,0.008640553,0.016250725,0.015423147,0.011228821,2016-02,2016-Q1,175100,0,2016-02
2/29/2016,87811,68022,NE,Omaha,Douglas,Omaha,5038,258500,0.004273504,0.020529017,0.055532871,0.046552068,0.018643957,2016-02,2016-Q1,258500,0,2016-02
2/29/2016,77309,44709,OH,Canton,Stark,Canton,5039,104400,0,0.006750241,0.039840637,0.018193745,-0.008322491,2005-12,2005-Q4,114900,-0.091383812,2002-06
2/29/2016,74740,38261,TN,Union City,Obion,Union City,5040,72300,0.002773925,0.016877637,0.009776536,0.037309514,0.009772283,2014-11,2014-Q4,73100,-0.010943912,2014-10
2/29/2016,73085,34287,FL,"North Port-Sarasota-Bradenton, FL",Sarasota,North Port,5041,130600,0.013188518,0.036507937,0.126833477,0.114361032,-0.044132377,2006-02,2006-Q1,205100,-0.363237445,2004-08
2/29/2016,61652,10038,NY,New York,New York,New York,5042,1074500,-0.001579632,-0.014039273,-0.041737269,0.068720678,0.035823357,2015-08,2015-Q3,1192600,-0.099027335,2014-12
2/29/2016,93289,80212,CO,Denver,Denver,Denver,5043,416600,0.005066345,0.021328757,0.138873701,0.105066565,0.05608336,2016-02,2016-Q1,416600,0,2016-02
2/29/2016,66232,20136,VA,Washington,Prince William,Bristow,5044,421500,-0.001421464,0.002616556,0.025297981,0.03669495,-0.02595744,2005-11,2005-Q4,549400,-0.232799418,2004-08
2/29/2016,93143,79935,TX,El Paso,El Paso,El Paso,5045,136100,0.002947679,0.008148148,0.019475655,0.006136348,0.011412193,2007-12,2007-Q4,152500,-0.107540984,2006-10
2/29/2016,94460,84098,UT,"Summit Park, UT",Summit,Park City,5046,592600,0.000844452,0.003046716,0.097610669,0.020394244,0.035346855,2012-09,2012-Q3,621100,-0.045886331,2012-04
2/29/2016,85926,63108,MO,St. Louis,Saint Louis City,Saint Louis,5047,263600,0.017760618,0.04107425,0.064190553,0.030075823,0.003243775,2016-02,2016-Q1,263600,0,2016-02
2/29/2016,60546,7031,NJ,New York,Bergen,North Arlington,5048,333700,0.003609023,0.010599637,0.028668311,0.007414119,-0.014734437,2007-04,2007-Q2,409600,-0.185302734,2004-09
2/29/2016,62097,11411,NY,New York,Queens,New York,5049,420400,0.008637236,0.024366472,0.078225186,0.030079963,0.000908423,2007-04,2007-Q2,478000,-0.120502092,2006-03
2/29/2016,76992,44089,OH,Cleveland,Lorain,Vermilion,5050,130200,0.001538462,0.001538462,-0.034124629,-0.002439797,-0.010298157,2006-02,2006-Q1,144400,-0.09833795,2001-07
2/29/2016,96171,90603,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Whittier,5051,512300,0.006285602,0.021128164,0.069296598,0.049582203,-0.008597253,2006-07,2006-Q3,581000,-0.118244406,2005-08
2/29/2016,76968,44055,OH,Cleveland,Lorain,Lorain,5052,52700,0.007648184,0.013461538,0.025291829,-0.025936592,-0.042308884,2006-03,2006-Q1,81400,-0.352579853,1996-05
2/29/2016,60497,6897,CT,Stamford,Fairfield,Wilton,5053,750300,-0.005434783,-0.01870259,-0.021007307,0.002849738,-0.018863887,2005-07,2005-Q3,919100,-0.183657926,2003-06
2/29/2016,74550,37912,TN,Knoxville,Knox,Knoxville,5054,105500,0,0.007640879,0.034313725,0.009557119,0.005569731,2009-12,2009-Q4,109600,-0.037408759,2009-05
2/29/2016,90617,75010,TX,Dallas-Fort Worth,Denton,Carrollton,5055,256200,0.005100039,0.017878427,0.126153846,0.073152209,0.033096142,2016-02,2016-Q1,256200,0,2016-02
2/29/2016,70651,29673,SC,Greenville,Greenville,Piedmont,5056,134500,0.001489203,0.006736527,0.060725552,0.030927347,0.017840756,2016-02,2016-Q1,134500,0,2016-02
2/29/2016,92839,79110,TX,Amarillo,Potter,Amarillo,5057,93200,-0.001071811,0.001074114,0.01194354,0.003469294,0.00417138,2007-12,2007-Q4,97300,-0.042137718,2006-12
2/29/2016,87876,68130,NE,Omaha,Douglas,Omaha,5058,255000,0.003147128,0.017151974,0.049382716,0.035099485,0.00696546,2008-08,2008-Q3,267400,-0.046372476,2008-03
2/29/2016,91832,77302,TX,Houston,Montgomery,Conroe,5059,191200,0.003674541,0.018104366,0.066964286,0.048618002,0.031953782,2016-02,2016-Q1,191200,0,2016-02
2/29/2016,91655,77006,TX,Houston,Harris,Houston,5060,451300,0.000221631,0.000665188,0.031778692,0.072255925,0.055924784,2015-08,2015-Q3,456500,-0.011391019,2015-07
2/29/2016,78290,46808,IN,Fort Wayne,Allen,Fort Wayne,5061,58800,-0.005076142,-0.015075377,0.013793103,-0.001017296,-0.026225952,2006-02,2006-Q1,76700,-0.233376793,
2/29/2016,99688,98282,WA,Oak Harbor,Island,Camano Island,5062,331200,0.005769815,0.015016856,0.081645983,0.027990029,-0.002560196,2008-03,2008-Q1,365500,-0.093844049,2005-12
2/29/2016,99584,98126,WA,Seattle,King,Seattle,5063,440400,0.006168609,0.022046879,0.140046596,0.079876696,0.023475162,2016-02,2016-Q1,440400,0,2016-02
2/29/2016,72663,33534,FL,Tampa,Hillsborough,Gibsonton,5064,159300,0.005681818,0.010786802,0.086630286,0.077069224,-0.025805825,2006-09,2006-Q3,220900,-0.278859212,2005-02
2/29/2016,76452,43004,OH,Columbus,Franklin,Columbus,5065,163000,0,0.009287926,0.03034134,0.027823884,-0.006051296,2005-04,2005-Q2,174900,-0.068038879,2004-02
2/29/2016,78295,46818,IN,Fort Wayne,Allen,Fort Wayne,5066,137200,0.004392387,0.023117077,0.044935263,0.018474023,0.001543637,2016-02,2016-Q1,137200,0,2016-02
2/29/2016,87119,66203,KS,Kansas City,Johnson,Shawnee,5067,152600,0.001969796,0.011265739,0.048076923,0.027104551,0.004844854,2016-02,2016-Q1,152600,0,2016-02
2/29/2016,60850,7871,NJ,New York,Sussex,Sparta,5068,322300,-0.000310174,0,0.036667739,-0.004529782,-0.024821639,2006-05,2006-Q2,419300,-0.231337944,2003-07
2/29/2016,66814,21204,MD,Baltimore,Baltimore,Towson,5069,430400,0.012705882,0.04187848,0.08249497,0.02387789,-0.001931005,2006-04,2006-Q2,440900,-0.023814924,2005-11
2/29/2016,92587,78654,TX,,Burnet,Marble Falls,5070,201800,-0.004930966,0,0.073975519,-0.019340524,,2010-03,2010-Q1,289300,-0.3024542,
2/29/2016,97837,94703,CA,San Francisco,Alameda,Berkeley,5071,840700,0.006826347,0.011550957,0.083236696,0.094932717,0.024681147,2015-09,2015-Q3,845700,-0.005912262,2015-08
2/29/2016,72449,33146,FL,Miami-Fort Lauderdale,Miami-Dade,Coral Gables,5072,914700,0.008600728,0.027175744,0.128980499,0.094001197,0.010056853,2016-02,2016-Q1,914700,0,2016-02
2/29/2016,99066,97070,OR,Portland,Clackamas,Wilsonville,5073,402000,0.001994018,0.009796534,0.079774376,0.055263625,0.006121554,2007-02,2007-Q1,412400,-0.025218235,2006-09
2/29/2016,93286,80209,CO,Denver,Denver,Denver,5074,626000,0.003365924,0.016563819,0.1030837,0.091483303,0.04340583,2016-02,2016-Q1,626000,0,2016-02
2/29/2016,78925,48043,MI,Detroit,Macomb,Mount Clemens,5075,92400,0,0.018743109,0.045248869,0.074873166,-0.037844534,2006-01,2006-Q1,136600,-0.323572474,1998-04
2/29/2016,95996,90015,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles,5076,631200,0.004775549,0.009435471,0.054284283,0.109459389,0.021330052,2016-02,2016-Q1,631200,0,2016-02
2/29/2016,58449,1610,MA,Worcester,Worcester,Worcester,5077,138000,-0.004329004,-0.013581129,0.034482759,0.016912282,-0.029460375,2005-12,2005-Q4,187300,-0.263214095,2003-03
