Address,Name,CUISINE DESCRIPTION
202 WEST   49 STREET 10019,playwright celtic pub,Irish
2028 WHITE PLAINS ROAD 10462,celeste's snack bar,American
203 AUDUBON AVE 10033,the heights bar & restaurant,Spanish
203 BEACH  116 STREET 11694,rogers irish tavern,Irish
203 E 85TH ST 10028,equinox juice bar,"Juice, Smoothies, Fruit Salads"
203 EAST   10 STREET 10003,chikalicious dessert bar,Other
2033 BARTOW AVE 10475,bagels on bartow,American
2048 86TH ST 11214,ritz bar,Chinese
205 COURT STREET 11201,tropic juice bar & grill,"Juice, Smoothies, Fruit Salads"
205 WEST   14 STREET 10011,flannery's bar,American
2055 VICTORY BOULEVARD 10314,schaffer's tavern,American
206 3 AVENUE 10003,sunburst espresso bar,American
206 W 41ST ST 10036,gleason's tavern,Other
207 2 AVENUE 10003,momofuku ssam bar,Asian
207 FRONT ST 10038,market bar,American
208 EAST 58 STREET 10022,bloom's tavern,American
208 MERCER STREET 10012,no ho juice bar & deli,Delicatessen
20811 35 AVENUE 11361,j.d.'s saloon bar,American
209 BEACH 116TH ST 11694,local liquids juice bar,"Juice, Smoothies, Fruit Salads"
21 WAVERLY PL 10003,white oak tavern,American
210 AVENUE A 10009,percy's tavern,Irish
210 W 35TH ST 10001,john sullivan's pub,American
210 W 94TH ST 10025,whispers bar and restaurant,American
210 WEST   50 STREET 10019,emmett o'lunney's irish pub,Irish
2100 FREDERICK DOUGLASS BOULEVARD 10026,harlem food bar,American
2102 30 AVENUE 11102,vesta trattoria & wine bar,Italian
211 E 4TH ST 10009,bibi winecellar,American
2115 WASHINGTON AVE 10457,deli grill juice and salad bar,American
2115 WILLIAMSBRIDGE RD 10461,mr. q's chinese & japanese bar restaurant,Chinese/Japanese
212 EAST   42 STREET 10017,lcl bar and kitchen,American
212 EAST   52 STREET 10022,bar mishima,Japanese
212 FRONT ST 10038,vbar seaport,American
212 NAGLE AVENUE 10034,agua roja bar & lounge,Spanish
2123 AVENUE Z 11235,the bras & pail bar,American
213 NORTH    8 STREET 11211,brooklyn winery,American
2130 BROADWAY 10023,beacon bar,American
214 KINGS HIGHWAY 11223,homestretch bar,American
21416 41 AVENUE 11361,donovan's grill & tavern,American
2153 8 AVENUE 10026,harlem tavern,American
216 7TH AVE 10011,zagara wine bar,Italian
216 MALCOLM X BLVD 11221,khemistry bar,Other
21606 JAMAICA AVENUE 11428,windies restaurant and bar,Caribbean
2178 BROADWAY 10024,locl bar,American
21793 HEMPSTEAD AVE 11429,fountain of youth juice bar & cafe,"Juice, Smoothies, Fruit Salads"
218 W 50TH ST 10019,cloud bar,"Bottled beverages, including water, sodas, juices, etc."
22 9 AVENUE 10014,bill's bar & burgers,Hamburgers
22 E 41ST ST 10017,annie moores pub & restaurant,American
22 EAST   38 STREET 10016,"whaler bar, cafe buon giorno",American
22 EAST   54 STREET 10022,papillon bistro & bar,French
22 W 46TH ST 10036,st. patrick's bar and grill,American
220 5TH AVE 10001,belgium beer cafe,French
220 8TH AVE 10011,milk bar chelsea,Other
220 WEST   44 STREET 10036,guy's american kitchen & bar,American
220 WYCKOFF AVE 11237,talon bar,Other
221 DYCKMAN STREET 10034,dyckman bar,American
2210 8 AVENUE 10026,moca bar & lounge,American
222 LAFAYETTE STREET 10012,ed's lobster bar,Seafood
2232 WHITE PLAINS RD 10467,"china mia exotic asian food, yogurt & juice bar",Chinese
22320 LINDEN BLVD 11411,grey dolphin sports bar & lounge,Caribbean
224 FRANKLIN STREET 11222,tbd bar,American
224-01 MERRICK BLVD 11413,lovells after dark bar and lounge,American
22407 UNION TURNPIKE 11364,staunton's bar restaurant,Irish
2241 1 AVENUE 10029,camaradas el barrio,Polynesian
2245 WESTCHESTER AVE 10462,fresh take juice bar,"Juice, Smoothies, Fruit Salads"
225 ELLIS ST 10307,south shore bar & grill,American
225 LIBERTY ST - SPACE #244 10281,blue ribbon sushi bar,Japanese
225 LIBERTY ST 10281,time inc. cafe and coffee bar,American
225 MAIN STREET 10307,b & e pub,"Bottled beverages, including water, sodas, juices, etc."
225 PARK AVE S 10003,florian cafe tattoria & bar,Italian
225 SULLIVAN STREET 10012,v-bar & cafe,American
225 WEST STREET 10013,pier 25 snack bar,American
2257 31 STREET 11105,o'hanlon's pub,Irish
2263 2 AVENUE 10035,colina bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
227 DYCKMAN STREET 10034,corcho wine room,"Bottled beverages, including water, sodas, juices, etc."
227229 WEST 145 STREET 10039,reggae sun delights natural juice bar,"Juice, Smoothies, Fruit Salads"
228 1ST AVE 10009,taverna kyclades,Greek
228 W 72ND ST 10023,gebhard's beer culture,Other
2281 NOSTRAND AVENUE 11210,le banquet bar & restaurant,Caribbean
229 DYCKMAN ST 10034,maja's tapas restaurant bar,Spanish
229 EAST   53 STREET 10022,cello wine bar,American
229 EAST   84 STREET 10028,trinity pub,American
229 ROEBLING STREET 11211,passenger bar,American
23 EAST  233 STREET 10470,kelly's pub,American
23 EAST TREMONT AVENUE 10453,fantasy bar and restaurant,Spanish
230 PARK AVE 10169,bar suzette,American
230 PARK AVENUE 10003,lea wine bar,American
231 EAST   14 STREET 10003,beauty bar,American
2320 MCDONALD AVENUE 11223,lounge bar cave,Italian
2327 1ST AVE 10035,taqueria el barrio,Spanish
23312 HILLSIDE AVENUE 11427,winchesters pub,American
2335 ARTHUR AVENUE 10458,dominick's bar & restaurant,Italian
234 UNDERHILL AVENUE 11238,bar sepia,American
234 W 238TH ST 10463,mon amour coffee & wine,Sandwiches/Salads/Mixed Buffet
23416 LINDEN BLVD 11411,detoxx bar,"Juice, Smoothies, Fruit Salads"
2344 ARTHUR AVE 10458,the bronx beer hall,Italian
235 EAST   84 STREET 10028,brandy's piano bar,American
235 ELDRIDGE STREET 10002,bob bar,American
235 WEST   46 STREET 10036,paramount bar & grill,American
2366 86 STREET 11214,la parranda mexicana bar & restaurant,"Bottled beverages, including water, sodas, juices, etc."
2366 STEINWAY ST 11105,mijana lounge restaurant & bar,Middle Eastern
2367 8 AVENUE 10027,harlem bar-b-q,Barbecue
237 EAST    5 STREET 10003,fish bar,American
237 THIRD AVENUE 10003,paddy maguire's ale house,"Bottled beverages, including water, sodas, juices, etc."
237 WEST  105 STREET 10025,the abbey pub,Irish
238 MORNINGSTAR RD 10303,the crazy taco tequila bar,Mexican
24 9 AVENUE 10014,kobrick coffee co.,"Bottled beverages, including water, sodas, juices, etc."
24 GIFFORDS LANE 10308,talk of the town,"Bottled beverages, including water, sodas, juices, etc."
240 EAST    9 STREET 10003,sakebar decibel,Japanese
240 FLATBUSH AVE 11217,bleachers sports bar and grill,American
240 WEST   35 STREET 10001,jack doyles pub & restaurant,Irish
240 WEST   55 STREET 10019,mcgees pub,American
2401 29 STREET 11102,the sparrow tavern,American
2407 WESTCHESTER AVENUE 10461,coconut palm bar and grill,Caribbean
2412 3RD AVE 10454,mott haven bar & grill,American
2414 149 STREET 11357,parkside pub,American
242 E 50TH ST 10022,sofia wine bar,Other
242 EAST   50 STREET 10022,sofia wine bar & cafe,Italian
243 WEST   47 STREET 10036,ethel barrymore theater,American
243 WEST   54 STREET 10019,characters nyc bar & grill,Irish
245 EAST   55 STREET 10022,draught 55 bar & kitchen,American
245 EAST   81 STREET 10028,balon,"Bottled beverages, including water, sodas, juices, etc."
245 ELDRIDGE ST 10002,bar goto,Japanese
245 S 1ST ST 11211,bar 245,American
245 W 17TH ST 10011,guckenheimer @ twitter nyc coffee bar,American
2460 WILLIAMSBRIDGE ROAD 10469,alba bar cafe,Other
247 DEKALB AVE 11205,brooklyn public house,American
247 SMITH ST 11231,nunez bar lounge,Tapas
247 W 30TH ST 10001,american whiskey,American
247 WEST   37 STREET 10018,stitch bar,American
247 WEST BROADWAY 10013,tribeca tavern,American
2476 ARTHUR AVENUE 10458,mug-z's sports bar,American
2488 3RD AVE 10454,el gustico dominicano restaurant & bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
249 9TH AVE 10001,jun-men ramen bar,Japanese
249 VARET ST 11206,gran bar,American
25 BRIDGE STREET 10004,white horse tavern,American
25 MADISON AVE 10010,sony hub/coffee bar,American
25 WEST   32 STREET 10001,chorus music studio/ chorus karaoke lounge bar,Korean
25 WEST HOUSTON STREET 10012,burger & barrel,American
250 WEST   14 STREET 10011,mckenna's pub,American
2503 3 AVENUE 10451,los choritos sports bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
2509 AC POWELL BLVD 10039,harlem green parrot bar and lounge,American
251 West 51 St 10019,mchale's bar & grill,Irish
252 8 AVENUE 10011,the fork bar & grill,American
252 W 29TH ST 10001,haymaker bar & kitchen,American
252 WEST   14 STREET 10011,ipanema bar,Spanish
252 WEST   47 STREET 10036,glass house tavern,American
2522 STEINWAY ST 11103,new mombar inc,Egyptian
2525 BOSTON POST ROAD 10467,gasolina bar lounge,American
253 WEST   55 STREET 10019,east japanese restaurant/ bar,Japanese
25332 NORTHERN BOULEVARD 11362,good company tavern,American
254 5TH AVE 11215,grand central oyster bar brooklyn,American
254 SOUNDVIEW AVE 10473,maravilla's bar & grill,Spanish
254 WEST   72 STREET 10023,sugar bar,American
254B E GUNHILL RD 10467,s & r le juice bar,"Juice, Smoothies, Fruit Salads"
25509 NORTHERN BOULEVARD 11362,la baraka restaurant,French
256 EAST  138 STREET 10451,oze tavern,American
2562 STEINWAY ST 11103,cleopatra cafe,"Bottled beverages, including water, sodas, juices, etc."
257 AVENUE U 11223,joe's bar & grill,American
2574 ARTHUR KILL ROAD 10309,mollie ryan's publick house,American
258 WEST 15 STREET 10011,pierre loti cafe & wine bar,Turkish
259 5TH AVE 11215,brooklyn burger & beer restaurant,American
259 EAST   10 STREET 10009,molecule water store,"Bottled beverages, including water, sodas, juices, etc."
259 SAINT NICHOLAS AVE 11237,june bar,American
259 WEST   19 STREET 10011,socarrat (paella bar and wine bar),Spanish
259A KINGSTON AVE 11213,maxwell restaurant and bar,American
25A-27 EAST BEDFORD PARK BLVD 10468,madden's pub,American
26 CARMINE STREET 10014,noodle bar,Asian
26 EAST   63 STREET 10065,club macanudo (cigar bar),American
26 GREENWICH AVE 10011,le baratin,French
26 W 8TH ST 10011,arts and crafts beer parlor,American
260 COURT STREET 11231,buddy's burrito & taco bar,Tex-Mex
2602 23 AVENUE 11105,corner taverna,Greek
2611 BATH AVE 11214,memories bar shevroja,Eastern European
2612 HOYT AVE S 11102,z bar,American
2619 23RD AVE 11105,e taverna,Greek
263 NORTH    6 STREET 11211,pinkerton wine bar,American
2634 EAST TREMONT AVENUE 10461,mcdermott's pub,American
264 BLEECKER STREET 10014,murray's cheese bar,American
264 SHERMAN AVE 10034,bleu beauty bar,Tapas
2647 FREDERICK DOUGLASS BLVD 10030,cari wine bar & restaurant,Other
2649 WEBSTER AVENUE 10458,el vaquero barras,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
26511 UNION TURNPIKE 11040,tavern 18,American
2655 RICHMOND AVENUE 10314,the juice bar,Fruits/Vegetables
266 IRVING AVE 11237,dromedary bar,American
2661 BROADWAY 10025,cool fresh juice bar,"Juice, Smoothies, Fruit Salads"
267 MADISON AVENUE 10016,mulligan's pub,Irish
268 6 AVENUE 10014,bar pitti,Italian
269 NORMAN AVENUE 11222,the place bar & lounge,American
27 W 120TH ST 10027,barawine,French
27 WEST   35 STREET 10001,playwright tavern,Irish
270 3 AVENUE 11215,canal bar,American
270 W 43RD ST 10036,foundry kitchen & bar,American
271 ADELPHI ST 11205,wallabout bay seafood restaurant & bar,Seafood
271 WEST  119 STREET 10026,billie's black bar lounge and restaurant,Soul Food
27111 UNION TPKE 11040,thomas schanz sports bar,American
2712 WHITE PLAINS ROAD 10467,el rey de copas restaurant & bar,Mexican
272 GRAND STREET 11211,midway bar,American
2722 GERRITSEN AVE 11229,beach bar,American
274 FLATBUSH AVENUE 11217,bklyn crepe and juice bar,"Juice, Smoothies, Fruit Salads"
275 SMITH STREET 11231,the wing bar,American
275 WEST   22 STREET 10011,barracuda bar,American
2756 BROADWAY 10025,west end hall beer garden,American
277 GOLD ST 11201,brownstone bar & restaurant,American
277 SMITH ST 11231,ravioli wine bar,Italian
2776 WEBSTER AVE 10458,rafaelina restaurant & bar corp,Spanish
2794 BROADWAY 10025,tara hill irish tavern,American
28 CLIFF STREET 10038,ryan maguire's bar & restaurant,American
28 DOOLEY STREET 11235,draft barn,American
28 E KINGSBRIDGE RD 10468,o'briens pub,Irish
28 WEST   32 STREET 10001,gagopa music studio,"Bottled beverages, including water, sodas, juices, etc."
28 WEST   32 STREET 10001,wa bar,Continental
28 WEST 8 STREET 10011,8th street winecellar,American
28 WEST STREET 10004,inatesso pizza bar casano,Pizza/Italian
280 SMITH STREET 11231,bar great harry,American
2805 CROSS ISLAND PARKWAY 11360,bayside marina snack bar,American
2808 21 STREET 11102,el ancla de astoria restaurant & bar,Peruvian
2808 34 STREET 11103,off the hook raw bar & grill,Seafood
2811 23RD AVE 11105,telly's taverna,Greek
2817 CONEY ISLAND AVE 11235,tsob-tsobe cafe lounge bar,Turkish
282 ATLANTIC AVENUE 11201,two8two bar & burger,American
2826 STEINWAY STREET 11103,heaven sports bar,American
2843 STEINWAY ST 11103,riou bar lounge,Spanish
2848 31 STREET 11102,irish whiskey bar,Irish
2850 BROADWAY 10025,mel's burger bar,Hamburgers
286 COLUMBUS AVENUE 10023,wine and roses bar and cafe,American
2867 BROADWAY 10025,the heights bar & grill,Tex-Mex
288 ELIZABETH STREET 10012,tom and jerry bar,American
29 EAST    3 STREET 10003,whiskey town,American
29 GREAT JONES STREET 10012,great jones juice bar,"Juice, Smoothies, Fruit Salads"
290 WILD AVE 10314,lillies restaurant & bar,Mediterranean
291 HOOPER ST 11211,rumba bar & lounge,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
2918 BRUCKNER BOULEVARD 10465,boulevard tavern,Irish
2919 24 AVENUE 11102,bohemian beer garden,Czech
2926 AVENUE S 11229,buckley's bar & restaurant,American
293 PORT RICHMOND AVE 10302,mammy's sports bar,Spanish
294 3 AVENUE 10010,the pizza pub / ampersand,Pizza
294 E BURNSIDE AVE 10457,burnside beer & wine cafeteria,Other
295 LAFAYETTE ST 10012,chefs club by food & wine,French
2953 GRAVESEND NECK ROAD 11229,jp's bar,American
2960 RICHMOND TER 10303,luk & bart homemade food,Polish
298 BEDFORD AVENUE 11249,bar oysters,Seafood
299 BOWERY 10003,dbgb kitchen & bar,French
2997 WESTCHESTER AVE 10461,bases loaded sports bar,American
3 HYATT STREET 10301,jimmie steiny's pub,American
30 WATER STREET 10004,dead rabbit tavern,Irish
300 SPRING ST 10013,union bar & kitchen,American
300 WEST   40 STREET 10018,beer authority,American
300 WEST   43 STREET 10036,timescare bar lounge,American
300 WEST 43RD STREET 10036,lol new york,"Bottled beverages, including water, sodas, juices, etc."
3000 EMMONS AVENUE 11235,knights of baron dekalb,American
3005 ASTORIA BLVD 11102,jimbos bar & restaurant,Greek
3007 FORT HAMILTON PKWY 11218,fina pizza bar,Pizza/Italian
3009 21 STREET 11102,the barn,American
301 EAST   91 STREET 10128,biddy's pub,American
3011 30 AVENUE 11102,athens el grill restaurant & bar,Mexican
3018B ASTORIA BLVD 11102,svl bar,Greek
302 EAST   92 STREET 10128,reif's tavern,American
302 IRVING AVENUE 11237,tropical bar,Spanish
3023 CHURCH AVENUE 11226,queen bee's tavern,American
303 LEXINGTON AVENUE 10016,rare bar & grill,American
304 5 AVENUE 11215,loki bar & benchmark restaurant,American
304 CITY ISLAND AVE 10464,city island diner /snug bar,American
3042 NOSTRAND AVENUE 11229,costello's claddagh inn,"Bottled beverages, including water, sodas, juices, etc."
306 ELLERY ST 11206,the pump juice bar,"Juice, Smoothies, Fruit Salads"
307 SMITH ST 11231,bar san miguel,American
307 TOMPKINS AVE 11216,the bush doctor juice bar,"Juice, Smoothies, Fruit Salads"
307311 FLATBUSH AVENUE 11217,burrito bar,Tex-Mex
3076 EMMONS AVENUE 11235,sheepshead bay yacht club bar,American
308 FRANKLIN AVE 11238,munchies juice bar,"Juice, Smoothies, Fruit Salads"
3093 38TH ST 11103,fusion juice bar,"Juice, Smoothies, Fruit Salads"
31 8 AVENUE 10014,tavern on jane,American
310 BOWERY 10012,310 bowery bar,American
3101 34 AVENUE 11106,el boqueron tapas bar & restaurant,Tapas
3104 CRESCENT ST 11106,kelly's bar,American
3106 31 STREET 11106,mermaid sports bar,Pizza
3106 BROADWAY 11106,mcloughlins bar,Irish
311 CHURCH STREET 10013,macao  restuarant and bar,Asian
311 E 76TH ST 10021,green life juice bar,"Juice, Smoothies, Fruit Salads"
312 WEST   58 STREET 10019,coliseum bar restaurant,American
3120 CONEY ISLAND AVE 11235,wise espresso bar,Eastern European
3121 QUENTIN ROAD 11234,bullseye sports pub,American
3129 DITMARS BOULEVARD 11105,mp taverna,Greek
313 39TH ST 11232,masha li/tian shang ren jian bar,Chinese
313 CHURCH STREET 10013,church street tavern,American
315 5TH AVE 11215,el habanero tex-mex restaurant bar,Tex-Mex
315 W 39TH ST 10018,tir na nog bar and grill,Irish
3151 BROADWAY 10027,el porton bar & restaurant,Mexican
3162 FULTON STREET 11208,gate way beer garden,Caribbean
3163 BROADWAY 10027,oasis jimma juice bar,"Juice, Smoothies, Fruit Salads"
3168 EAST TREMONT AVENUE 10461,sapito's sports bar & grill,Spanish
317 COLUMBIA STREET 11231,jalopy tavern,American
318 GRAND STREET 11211,full circle bar,American
3186 31 STREET 11106,daly's pub,American
3186 37 STREET 11103,winegasm,French
32 MULBERRY STREET 10013,le baron,American
3201 PHILIP AVE 10465,p.j. brady's tavern,American
3202 LINDEN PL 11354,soho ktv & bar,Chinese
3208 BROADWAY 11106,break bar & billards,American
321 WEST   44 STREET 10036,new york beer company,American
3216 STEINWAY ST 11103,brik bar lounge & kitchen,American
3219 FULTON ST 11208,blue parrot bar,American
322 2 AVENUE 10003,gramercy park bar,American
322 WEST   46 STREET 10036,bar centrale,American
3234 AVENUE B 10009,mama's bar,American
324 SPRING STREET 10013,kana tapas bar & restaurant,Tapas
325 BOWERY 10003,bar primi,Italian
325 E 5TH ST 10003,goloka juice bar,"Juice, Smoothies, Fruit Salads"
325 EAST   48 STREET 10017,elite food bar,American
3255 FRANCIS LEWIS BLVD 11358,flb's pub,American
328 WEST 45TH STREET 10036,beer culture,American
3289 WESTCHESTER AVENUE 10461,villa barone,Italian
329 HENRY STREET 11201,henry public,American
3290 36 STREET 11106,cafe bar,Mediterranean
3294 ATLANTIC AVENUE 11208,el cacique bar restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
33 UNIVERSITY PLACE 10003,knickerbocker bar & grill,American
3301 DITMARS BLVD 11105,the sandwich bar,American
3301 GREENPOINT AVENUE 11101,bantry bay publick house,Irish
331 E 81ST ST 10028,bar prima,American
331 EAST  204 STREET 10467,mcdwyers pub,Irish
33-16 23 AVENUE 11105,astoria tavern,Irish
332 LAFAYETTE STREET 10012,temple bar,American
3329 ASTORIA BLVD 11103,republic bar,Italian
333 ADAMS STREET 11201,the great room bar,American
334 AUDUBON AVENUE 10033,bon bon juice bar & grill,"Juice, Smoothies, Fruit Salads"
335 BOWERY 10003,the bowery hotel bar,American
336 STATE ST 11217,grand army bar,Seafood
336 THIRD AVENUE 10010,fitzgerald's pub,American
337 3RD AVE 10010,rose hill tavern,American
3377 BOSTON RD 10469,king barka jamaican,Caribbean
3386 ATLANTIC AVENUE 11208,el nuevo barzola restaurant,Spanish
339 ADAMS ST 11201,rocco's tacos & tequila bar,Mexican
339 EAST 10 STREET 10009,blind barber,American
34 DOWNING STREET 10014,blue ribbon bar,American
3404 36 AVENUE 11106,veronica's bar,Irish
3410 31ST AVE 11106,zenon taverna greek restaurant,Greek
3410 CHURCH AVE 11203,snatch & go internet cafe & juice bar,"Juice, Smoothies, Fruit Salads"
3415 14 AVENUE 11218,taqueria restaurante mi bario,Mexican
3419 STEINWAY STREET 11101,el foruma night club and bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
342 WEST   40 STREET 10018,collage bistro & bar,American
3424 BROADWAY 10031,picante mexican bar and grill restaurant,Mexican
343 BROOME STREET 10013,randolph beer,American
344 3RD AVENUE 10010,promenade bar grill sushi,American
344 E 6TH ST 10003,burrito bar la esquina,Mexican
3441 JEROME AVENUE 10467,oasis restaurant & sports bar,Spanish
3447 BAYCHESTER AVE 10469,jamex sports bar,Caribbean
345 ADAMS ST 11201,hill country barbecue market,Barbecue
345 W 35TH ST 10001,the gastro bar,Tapas
3454 BROADWAY 10031,la cantina ecua-mex bar & billiard,Mexican
3455 32ND STREET 11106,snowdonia pub,English
346 WEST   46 STREET 10036,bourbon street bar and grille,American
347 BROADWAY 11211,las tainas bar & restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
349 BROADWAY 11211,zamaan hookah bar,Middle Eastern
3496 BROADWAY 10031,solace bar & grill,Spanish
35 ANDROVETTE STREET 10309,daddyo's barbeque and sports bar,Barbecue
35 CANAL STREET 10002,clandestino cafe and bar,French
35 EAST   13 STREET 10003,bar 13,American
35 INGRAHAM STREET 11206,alaska bar,American
35 WEST    8 STREET 10011,whiskey social,American
35 WEST   57 STREET 10019,the great american health bar,American
350 5TH AVE 10118,state grill and bar,American
350 7 AVENUE 10001,seven bar & grill,American
350 EAST   53 STREET 10022,parnell's pub,Irish
3502 DITMARS BLVD 11105,two lizards mexican bar & gril,Other
3503 BROADWAY 11106,portalia ristorante bar and lounge,Italian
351 WEST   57 STREET 10019,dj reynolds pub and restaurant,Irish
3511 BOSTON RD 10469,tranquility bar & lounge,American
352 E GUN HILL RD 10467,el encuentro restaurant bar corp,Other
352 EAST GUN HILL ROAD 10467,el encuentro restaurant bar & lounge,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
3524 3RD AVE 10456,retro blends smoothie bar,"Juice, Smoothies, Fruit Salads"
3525 FARRINGTON STREET 11354,magna bar & restaurant,Italian
353 WEST   57 STREET 10019,library bar,American
3535 RIVERDALE AVE 10463,truffa wine room,Pizza
354 3 AVENUE 10010,abbey tavern,American
355 FOOD CENTER DRIVE 10474,snack bar (located between a-b between fancy food and masters),American
3559 95TH ST 11372,el reencuentro bar restaurant,Spanish
356 W 44TH ST 10036,quinn's bar & grill,American
356 WEST   58 STREET 10019,sky terrace bar,American
3564 95TH ST 11372,emily bar restaurant,Spanish
358 EAST   57 STREET 10022,neary's pub,American
358 W 46TH ST 10036,sake bar hagi 46,Japanese
359 BEDFORD AVENUE 11211,delaney barbecue,Barbecue
36 WEST   33 STREET 10001,jack demsey's pub,Irish
36 WILSON AVE 11237,the little whiskey,American
36 WILSON AVENUE 11237,cain's tavern,American
360 WEST   23 STREET 10011,westside tavern,American
361 6TH AVE 10014,joy burger bar,Hamburgers
361 GRAHAM AVENUE 11211,oak wine bar & restaurant,Eastern European
3612 BROADWAY 10031,harlem public restaurant,American
3615 DITMARS BOULEVARD 11105,mccann's pub,Irish
3619 24TH AVE 11103,albatross bar,American
362 E 21ST ST 10010,8th wonder juice bar,"Juice, Smoothies, Fruit Salads"
3628 BROADWAY 10031,unione restaurant & bar,Italian
363 5 AVENUE 11215,ginger's bar,Irish
363 WEST BROADWAY 10013,broome street bar,American
3638 BAILEY AVE 10463,khalle bar and grill,Other
364 LEWIS AVENUE 11233,therapy wine bar,American
3648 BAILEY AVE 10463,tilila bar & grill,Tapas
365 W 51ST ST 10019,xai xai wine bar,American
366 W 52ND ST 10019,takoyaki bar,Other
367 METROPOLITAN AVE 11211,the federal bar brooklyn,American
369 36 STREET 11232,la guarida bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
369 WEST   46 STREET 10036,the ritz bar & lounge,American
37 E 29TH ST 10016,wolfetone's irish pub & kitchen,American
37 W 54TH ST 10019,new york thai grill  & sushi bar,Japanese
37 WEST   32 STREET 10001,shilla korean barbecue house,Korean
370 7 AVENUE 10001,harrington's bar & grill,American
370 LEWIS AVENUE 11233,beso restaurant and bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
3710 30TH AVE 11103,butcher bar,Barbecue
3713 RIVERDALE AVE 10463,blackstone  bar and grill,American
3718 EAST TREMONT AVENUE 10465,brewski's bar & grill,American
3722 73 STREET 11372,khaabar baari,Bangladeshi
373 CHAUNCEY ST 11233,noel's bar & grill,Other
373 WEST   46 STREET 10036,hourglass tavern,American
374 EAST  204 STREET 10467,el paso del vaquero taqueria & bar,Mexican
37-65 103 STREET 11368,pasiones bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
377 BEACH   92 STREET 11693,bungalow bar & restaurant,American
3785 VICTORY BOULEVARD 10314,mug shots,American
379 3RD AVE 10016,fuel grill and juice bar,"Juice, Smoothies, Fruit Salads"
38 WEST   32 STREET 10001,5bar karaoke,Korean
380 3 AVENUE 10016,tavern on the third,American
3804 BROADWAY 11103,raven's head public house,American
3812 104TH ST 11368,el palo bar restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
3814 BROADWAY 11103,cronin & phelan pub & restaurant,Irish
3821 69 STREET 11377,69 bar lounge,"Bottled beverages, including water, sodas, juices, etc."
3823 RICHMOND AVE 10312,joyce's tavern,Other
3831 BELL BOULEVARD 11361,avli the little greek tavern,Greek
3848 WHITE PLAINS ROAD 10467,infinity bar,Other
388 UNION AVENUE 11211,barcade,American
389 8 AVENUE 10001,walter's bar,Other
3892 BROADWAY 10032,la barca restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
390 EAST  204 STREET 10467,la nueva estrella bar & restaurant,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
3910 BROADWAY 10032,heights tavern,American
3915 192 STREET 11358,mccabe's bar car,Irish
3916 COLLEGE POINT BLVD 11354,a+ roof bar,Other
3917 BELL BLVD 11361,beer belly's,American
392 WOODWARD AVE 11385,sabores restaurant & bar,Other
3920 104 STREET 11368,la oficina bar,American
3923 BELL BLVD 11361,kenta sushi bar,Japanese
3924 BELL BOULEVARD 11361,local bar and grill,American
393 EAST  198 STREET 10458,caminito sports bar and billiard,"Bottled beverages, including water, sodas, juices, etc."
3931 QUEENS BLVD 11104,ot rest & bar,Greek
3932 AMBOY RD 10308,flanagan's tavern,American
3937 AMBOY RD 10308,bam sportsbar & grill,Other
395 E 151ST ST 10455,619 bar & restaurant el salvadoreno,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
3950 61 STREET 11377,station bar,Irish
3973 BRONXWOOD AVE 10466,best choice caribbean restaurant and juice bar,Caribbean
3976 61 STREET 11377,dugout pub,Irish
399 GREENWICH ST 10013,greenwich street tavern,American
4 PENN PLAZA 10121,bar (garden bar 6th floor),"Bottled beverages, including water, sodas, juices, etc."
4 PENN PLZ 10121,beer pub (bridge pub),American
4 PENN PLZ 10121,beer pub (garden pub6th),Other
4 PENN PLZ 10121,bar (bar madison),American
4 PENN PLZ 10121,bar at the garden,American
4 PENN PLZ 10121,bar garden,American
4 PENN PLZ 10121,gold bar a bts,American
4 PENN PLZ 10121,gold bar b bt6,American
4 PENN PLZ 10121,farley's bar,American
4 PENN PLZ 10121,event level club (delta sky 360 bar),American
4 PENN PLZ 10121,bar,American
4 PENN PLZ 10121,garden pub,American
40 EAST    4 STREET 10003,b bar and grill,American
40 WEST   40 STREET 10018,cellar bar - the bryant park hotel,American
4009 BELL BLVD 11361,sol bar & grill,American
401 WEST   52 STREET 10019,casellula cheese & wine cafe,American
40-19 BELL BOULEVARD 11426,pyramids hookah and bar,American
4019 BROADWAY 11103,pollos a la barasa mario,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
402 8 AVENUE 10001,molly wee pub,Irish
4029 HYLAN BOULEVARD 10308,dugout pub south,American
