Address,Name,CUISINE DESCRIPTION
113 MULBERRY STREET 10013,cha cha's backyard garden bar & cafe,Italian
113 WEST   13 STREET 10011,spain restaurant & bar,Spanish
113115 EAST  157 STREET 10451,stadium pizza bar restaurant,American
114 E 32ND ST 10016,oneonefour bar & lounge (marmar park ave),American
1141 WASHINGTON AVE 10456,bx pizza bar restaurant,Pizza/Italian
11445 LEFFERTS BLVD 11420,gt kingston restaurant & bar,Caribbean
115 1 AVENUE 10003,wcou radio / tile bar,American
115 BROADWAY 10006,trinity place bar & restaurant,American
115 CHRISTOPHER STREET 10014,hangar bar,American
11510 ROCKAWAY BEACH BOULEVARD 11694,kerry hills pub,"Bottled beverages, including water, sodas, juices, etc."
1152 1 AVENUE 10065,baker street pub,American
11522 LIBERTY AVENUE 11419,sugaz bar,Caribbean
1154 1 AVENUE 10065,honky tonk tavern,American
116 NORTH    5 STREET 11249,two door tavern,American
116 SMITH ST 11201,we olive and wine bar-brooklyn,Not Listed/Not Applicable
1166 1 AVENUE 10065,felice 64 wine bar,Italian
117 E 60TH ST 10022,the bar room,American
11703 HILLSIDE AVE 11418,karnival bar & lounge,Caribbean
11703 HILLSIDE AVE 11418,wine room nyc,American
11710 JAMAICA AVE 11418,crazy willys bar,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
11718 QUEENS BOULEVARD 11375,cobblestone pub,American
118 2 AVENUE 10003,bar virage,Mediterranean
118 NASSAU STREET 10038,nassau bar,"Bottled beverages, including water, sodas, juices, etc."
118-12 QUEENS BOULEVARD 11375,o'hanlon's bar,American
11814 LIBERTY AVE 11419,liberty bar restaurant,American
1183 BROADWAY 11221,marthita's bar & grill,Spanish
1183 FULTON ST 11216,fuel juice bar,"Juice, Smoothies, Fruit Salads"
1186 EVERGREEN AVENUE 10472,el chicanito sports bar,Mexican
119-11 METROPOLITAN AVE 11415,hangar 11 bar & grill,American
12 E GUN HILL RD 10467,little michael's deli & salad bar,Delicatessen
12 EAST   12 STREET 10003,gotham bar & grill,American
12 SPRING STREET 10012,the vig bar,American
12 WEST   44 STREET 10036,the mansfield bar,American
12 WHITEHALL FERRY TERMINAL 10004,eat-a-bagel (andrew j. barberi ferry),Bagels/Pretzels
120 EAST 15 STREET 10003,side bar,American
12012 1 AVENUE 10009,international bar,American
1205 BOWERY ST 11224,margarita island,"Bottled beverages, including water, sodas, juices, etc."
1205 SURF AVE 11224,the red doors bar and grill,American
1207 WHITE PLAINS RD 10472,body fitness ny juice & protein bar,"Juice, Smoothies, Fruit Salads"
121 ESSEX STREET 10002,the whiskey ward,American
121 LUDLOW STREET 10002,amuse wine bar,American
1215 EAST GUN HILL ROAD 10469,gun post lanes snack bar,American
1218 ST NICHOLAS AVENUE 10032,m & m bar & grill,American
123 ALLEN STREET 10002,antler beer & wine dispensary,American
123 JAMAICA AVENUE 11207,bonao bar and grill,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
123 WASHINGTON STREET 10006,blt bar & grill,American
1230 5 AVENUE 10029,el museo del barrio,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
1233 FLATBUSH AVE 11226,rose fantasy restaurant and bar,Caribbean
12432 QUEENS BLVD 11415,euro grill  & salad bar,American
1246 E GUN HILL RD 10469,ethics bar & lounge,American
125 BEDFORD AVENUE 11211,mugs ale house bar,American
125 E 7TH ST 10009,ruffian wine bar,Continental
1250 MORRISON AVE 10472,new tacopetan restaurant & bar,Mexican
12515 JAMAICA AVE 11418,california bar & lounge,Spanish
12517 101ST AVE 11419,nest restaurant & bar,Caribbean
12517 ROCKAWAY BOULEVARD 11420,the tic tavern,American
12522 MERRICK BLVD 11434,edge bar & lounge,American
1258 BAY STREET 10305,rosebank tavern,American
1259 PARK AVE 10029,earl's beer & cheese,Armenian
126 1 AVENUE 10009,the grafton public house,American
126 HAMILTON PL 10031,hogshead tavern,Other
126 ROOSEVELT AVENUE 11368,stand 140 beer island,"Bottled beverages, including water, sodas, juices, etc."
126 ROOSEVELT AVENUE 11368,club bar #1 (first base),American
126 ROOSEVELT AVENUE 11368,club bar #2 horseshoe bar (1st base),American
126 ROOSEVELT AVENUE 11368,ceasar/club bar #3,American
126 ROOSEVELT AVENUE 11368,delta kitchen (in seat svc bar 1),American
1267 JEROME AVENUE 10452,elvalle restaurant sport bar,Spanish
127 E 34TH ST 10016,wine:34,Italian
127 W 28TH ST 10001,stix chelsea/hotel indigo/rooftop bar,American
12705 111TH AVE 11420,insomnia bar & lounge,American
1278 3 AVENUE 10021,t-bar steak & lounge,Steak
128 BEDFORD AVE 11249,soft spot bar,American
128 SMITH STREET 11201,bar tabac,French
128 WEST   29 STREET 10001,chelton's bar and grill (doubletree by hilton),American
129 EAST   18 STREET 10003,pete's tavern,American
129 LEXINGTON AVENUE 10016,whiskey rebel,American
129 W 56TH ST 10019,topaz noodle bar,Asian
1290 AVENUE OF THE AMERICAS 10104,academia barilla restaurants,Italian
12920 LIBERTY AVENUE 11419,beni's restaurant & bar,Caribbean
1299 CONEY ISLAND AVE 11230,schnitzi bar,Jewish/Kosher
13 EAST   13 STREET 10003,corkbuzz wine studio,American
130 EAST   39 STREET 10016,beer & buns / st giles hotel - the court,American
130 EAST   40 STREET 10016,peter dillon's bar,Irish
130 LINCOLN AVE 10306,parker's sports bar,American
1301 6 AVENUE 10019,ra @ barclays,American
1301 AVENUE OF THE AMERICAS 10019,ra at barclays,American
1306 SAINT NICHOLAS AVE 10033,lola lola restaurant & bar,Mexican
131 RIVINGTON STREET 10002,schiller's liquor bar,American
1310 78TH ST 11228,blend salad and juice bar,Salads
13102 14 AVENUE 11356,bar 131,American
13118 LIBERTY AVENUE 11419,singh's roti shop & bar,Caribbean
13123 LIBERTY AVE 11419,ice bar & grill,Caribbean
132 1 AVENUE 10009,v bar,Italian
