lat	long
40.6893996	-73.9709432
40.79395795	-73.97078245
40.6451433	-73.9702129
40.7981227	-73.9696126
40.68962755	-73.96939786
40.7549319	-73.96920138
40.6778842	-73.9689874
40.7679281	-73.96856212
40.639137	-73.96854195
40.7633636	-73.9684802
40.6392004	-73.96840056
40.678232	-73.96838304
40.80115678	-73.96779444
40.7525203	-73.96768861
40.6807926	-73.9675373
40.67364345	-73.96746606
40.6934054	-73.9673876
40.8027111	-73.9673784
40.8051554	-73.96635557
40.8044959	-73.9661282
40.7619888	-73.965922
40.7651593	-73.9658783
40.8007789	-73.96586004
40.719019	-73.9650669
40.62597085	-73.96503719
40.6348895	-73.964986
40.680241	-73.964663
40.8032214	-73.9639172
40.67690875	-73.9638256
40.67705925	-73.96341053
40.7104521	-73.9634094
40.6543436	-73.9632245
40.6753785	-73.9630128
40.7115029	-73.96296031
40.7988	-73.96285771
40.6098107	-73.962628
40.6729103	-73.96258363
40.6107575	-73.96216126
40.77099564	-73.96191418
40.7142423	-73.9616065
40.7147822	-73.9615253
40.71471585	-73.96137626
40.7141891	-73.9610754
40.6941356	-73.9609722
40.7140811	-73.96083553
40.675232	-73.9601199
40.7421666	-73.9600359
40.58785315	-73.96003399
40.57977763	-73.9598855
40.81450945	-73.95961676
40.5782018	-73.9593925
40.8149705	-73.95921631
40.7114782	-73.95918476
40.71499818	-73.95848536
40.71305395	-73.95813143
40.7177063	-73.9580945
40.6699488	-73.9580793
40.7219036	-73.9580607
40.69882	-73.9579589
40.7127416	-73.95790573
40.671267	-73.9579042
40.67165557	-73.95782162
40.7333585	-73.9576267
40.68865665	-73.95747923
40.77045333	-73.95728444
40.6722657	-73.9572486
40.69089605	-73.95707204
40.677146	-73.956961
40.677146	-73.956961
40.6734404	-73.9568195
40.7125786	-73.9567394
40.7301692	-73.95663463
40.7210578	-73.9565711
40.6810941	-73.95641149
40.6838165	-73.9563661
40.7194468	-73.95624775
40.71748605	-73.95619601
40.6762399	-73.9561829
40.6761049	-73.9561528
40.7079034	-73.95583045
40.707882	-73.95576875
40.7194991	-73.9557618
40.74239594	-73.95575104
40.7142249	-73.95567417
40.77120865	-73.95553084
40.827319	-73.9553259
40.73397215	-73.95513081
40.7343237	-73.955094
40.64020955	-73.95504082
40.68753195	-73.95446435
40.5950125	-73.9544405
40.6809626	-73.9542768
40.77813416	-73.95424706
40.7073329	-73.95410874
40.75881	-73.9533572
40.77435775	-73.95291527
40.8226669	-73.952889
40.7675761	-73.95282792
40.7770737	-73.95266309
40.8236436	-73.9521558
40.7845083	-73.9520881
40.78313695	-73.95174595
40.7257325	-73.95171357
40.7873511	-73.951654
40.710844	-73.951427
40.82484	-73.9512865
40.7247069	-73.95107074
40.6885199	-73.9510362
40.71204595	-73.95096896
40.821319	-73.9507066
40.72304455	-73.9506004
40.7802207	-73.9504329
40.70635	-73.950249
40.7277962	-73.9501849
40.6758854	-73.9501638
40.6712296	-73.9501536
40.7222268	-73.95013944
40.71124275	-73.95004006
40.8239295	-73.9493847
40.822532	-73.9493513
40.6459902	-73.94930113
40.7109674	-73.94928725
40.7113476	-73.94922997
40.6509758	-73.9487392
40.5838209	-73.9486796
40.8287067	-73.9484555
40.6425476	-73.9484392
40.64178545	-73.94834583
40.82922489	-73.94828744
40.7110028	-73.9482866
40.5837619	-73.94815245
40.79607325	-73.94804128
40.775223	-73.9478585
40.5888416	-73.9475391
40.80454	-73.9474458
40.6290467	-73.9471366
40.7115559	-73.9468157
40.71164945	-73.94641678
40.7195355	-73.9457614
40.6509079	-73.9452641
40.58418576	-73.94512903
40.80221395	-73.9449239
40.7273615	-73.9449042
40.71538935	-73.9447786
40.69953775	-73.94451345
40.68740025	-73.94447398
40.819673	-73.9442309
40.61015105	-73.9441303
40.8206367	-73.94388898
40.8255488	-73.9438794
40.714787	-73.94342011
40.6048262	-73.94306429
40.7328288	-73.9426668
40.67098895	-73.94256925
40.8113276	-73.942411
40.7278442	-73.9421797
40.8375015	-73.9420301
40.600427	-73.9418909
40.6707956	-73.94179648
40.714872	-73.94159067
40.8381288	-73.9415763
40.7617751	-73.9415595
40.60025636	-73.94150679
40.763734	-73.9413899
40.763734	-73.9413899
40.763734	-73.9413899
40.763734	-73.9413899
40.763734	-73.9413899
40.70112385	-73.94100185
40.7210499	-73.940712
40.6256786	-73.9403605
40.69926955	-73.94002745
40.61282	-73.94001546
40.75169425	-73.93992593
40.8430748	-73.9394011
40.84750805	-73.93871165
40.8461119	-73.9386836
40.8427309	-73.9383113
40.58348085	-73.93823048
40.6515063	-73.9379495
40.7489243	-73.9373947
40.7489243	-73.9373947
40.7489243	-73.9373947
40.7489243	-73.9373947
40.7489243	-73.9373947
40.697942	-73.93714
40.766183	-73.9368199
40.849541	-73.9363969
40.5836336	-73.93628524
40.8456796	-73.9361605
40.7412385	-73.9361121
40.6774651	-73.93567115
40.6829344	-73.93527275
40.6830972	-73.9352489
40.8450514	-73.9349059
40.8519189	-73.9346405
40.8483613	-73.9342063
